Job,Score
AP Spanish Teacher,145
SENIOR DATABASE ADMINISTRATOR,144
Quality Assurance Technical Manager,143
SR. PROGRAMMER ANALYST,142
Network & Comp Systems Administrators,141
Environmental Scientist & Specialist,140
Environmental Scientist and Specialists,139
SENIOR ARCHITECTURAL DESIGN,138
Sr. Systems Developer,137
Musicians and Singers,136
Logistician,135
Architectural and Engineer Managers,134
Technology Consultant,133
Food Scientist,132
Windows Systems Admin/Engineer,131
Crosswell Geophysicist,130
"Apprentice LinemanHelpers-Installation, Maintenance, and Repair Workers",129
Network & Computer System Administrators,128
Assistant Manager,127
Transactional Database Lead,126
Engine and other machine Assemblers,125
"Helper--Painter, Paperhangers, Plasters, and Stucco",124
ACTUARIES,123
Tailor,122
Paralegals and Legal Assistant,121
CHIEF EXECUTIVES,120
"Internists, general",119
Math Teacher,118
VEHICLE MARKET ANALYST-ASIA,117
"Environmental Science Teachers, Postsecondary",116
Water Resources Analyst,115
Staff Engineer of Software Engineering,114
LEAD TEACHER,113
ENGINEERING TECHNICIAN,112
"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL EDUCATION",111
STORE MANAGER,110
Foreman,109
Maintenance Supervisor,108
PHARMACIST,107
Technical Systems Engineer,106
Training and Developmental Managers,105
Sr. Systems Analyst,104
LAWYERS,103
BARTENDERS,102
gadener,101
UPHOLSTERER,100
"Special Education Teachers, SecondarySchool",99
Store Supervisor,98
HEALTHCARE COMPLIANCE OFFICER,97
auto body painter (automotive),96
CONSTRUCTION LABORERS,95
RESTAURANT CHEF,94
"SECURITY GUARD, MANAGER",93
Staff Medical Technologist,92
Electronics Engineer except computer,91
Senior Software Engineer (Data Management),90
Public Relations Manager,89
Refrigeration Engineer,88
Senior Solution Architecture Consultant,87
R & D Engineer,86
"Sr. Financial Analyst, Supply Chain Mgmt",85
CAD COORDINATOR,84
Physical Therapy Manager,83
Human Resource Managers,82
Sales Engineer (IT Account Manager),81
Business Teachers Postsecondary,80
Elementary Music Teacher,79
OCCUPATIONAL HEALTH & SAFETY TECHNICIAN,78
CABINETMAKERS&BENCH CARPENTERS,77
SAP WM-LE Team Lead,76
RF Network Enigneer,75
TREASURERS AND CONTROLLERS,74
Commercial Designer - Jewelry,73
First Line Supervisor of Retail Sales Workers,72
Computer Application Developer,71
Computer Science Teachers,70
MIS Director,69
Tax Manager,68
ARCHITECTURAL MANAGER,67
School Legal Administrator,66
Geographer,65
Physician,64
ERP Applications Specialist,63
Senior Accountant Manager,62
AUTOMOTIVE BODY REPAIRER,61
GLAZIER,60
"MAINTENANCE AND REPAIR WORKERS, GENERAL",59
Performance Test Analyst,58
Chemistry/Math Teacher,57
Senior Test Engineer,56
Senior QA Engineer,55
Archivist,54
Assistant Professor of Aerospace Engineering,53
Biochemist and Biophysicist,52
"Computer Systems, Analysts",51
"Secondary School Teachers, Except Special & Career/Technical Education",50
CFD Engineer,49
cook,48
Market Research Analysts/Mktg Specialists,47
Systems Analyst UNIX,46
Technical Project Manager,45
Networking Administrator,44
Marketing and Technical Manager,43
CEMENT MASONS & CONTRACTOR,42
Secondary School Teachers exc Spec & Voc,41
Customer Service Representatives,40
"TAILORS, DRESSMAKERS AND CUSTOM SEWERS",39
"Supervisor, Handling of Perishable Products",38
"BUSINESS TEACHERS, POSTSECONDARY",37
Sound Engineering Technician,36
Network System & Data Communications Analyst,35
ELEMENTARY BILINGUAL TEACHER,34
Natural Science Managers,33
Quantitative Market Research Analyst,32
Network/Computer Systems Administrators,31
"Home Economics Teachers, Postsecondary",30
"Computer SW Engineer, Applications",29
"HEALTH AND SAFETY ENGINEERS, EXCEPT MINING SAFE",28
"Com. Software Engineers, Appl. (15-1132)",27
COMPUTER AND INFORMATION RESEARCH SCIENTISTS,26
HEAVY AND TRACTOR TRAILER TRUCK DRIVERS,25
NETWORK & SYSTEM ADMINISTRATOR,24
Obstetricians and Gynecologiststs,23
Senior Account Planner,22
SR.TECHNICAL ENERGY PROJECT MANAGER,21
Applications Development Senior Programmer Analyst,20
Research Professor,19
Operations Research Manager,18
Programmer Analyst - testing,17
Home Health Care Occupational Therapist,16
Political Scientists,15
Philosophy and Religion Teachers,14
Systems Administrator,13
ION EXCHANGE CHEMIST,12
Senior Process Safety Engineer,11
"Chef, Japanese Specialty",10
ADVERTISING MANAGER,9
Cosmetics Chemist,8
Senior TIBCO Developer,7
Software Engineer I,6
"Application Scientist, Environmental",5
Senior System Engineer/Administrator,4
Research & Design Engineer,3
Senior Software Engineer (.NET),2
CEMENT MASONS AND CONCRETE FINISHERS,1
